ConclDir;ConclQ;breaktype;code;correctness;datetime;givenanswer;givenanswertext;nouns;ordering;ordertext;p1;p2;sequence;syllog;time;validConclusions;vpid;cid
CA;O;images;SPKFEB;1;2016-07-04T15:20:21+02:00;8;8: Some chefs are not runners;runner,scientist,chef;3;;;;45;AE3;2069;Eac,Eca,Oac,Oca;35;SPKFEB
CA;A;images;SPKFEB;NVC;2016-07-04T15:20:24+02:00;0;0: All artists are surfers;surfer,planner,artist;3;;;;46;AI1;1590;NVC;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:20:25+02:00;3;3: Some riders are joggers;rider,counselor,jogger;3;;;;47;OO3;1480;NVC;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:20:28+02:00;8;8: Some teachers are not bankers;banker,golfer,teacher;3;;;;48;EO1;1678;NVC;35;SPKFEB
CA;I;images;SPKFEB;NVC;2016-07-04T15:20:30+02:00;9;9: Some singers are tailors;tailor,pilot,singer;3;;;;49;IO4;1611;NVC;35;SPKFEB
AC;A;images;SPKFEB;NVC;2016-07-04T15:20:33+02:00;4;4: All trainers are architects;trainer,designer,architect;3;;;;50;AI3;2594;NVC;35;SPKFEB
CA;A;images;SPKFEB;NVC;2016-07-04T15:20:35+02:00;0;0: All bakers are gamblers;gambler,sculptor,baker;3;;;;51;OI2;1589;NVC;35;SPKFEB
AC;O;images;SPKFEB;NVC;2016-07-04T15:20:37+02:00;2;2: Some editors are not soldiers;editor,florist,soldier;3;;;;52;EE4;1819;NVC;35;SPKFEB
CA;O;images;SPKFEB;NVC;2016-07-04T15:20:39+02:00;8;8: Some brokers are not agents;agent,secretary,broker;3;;;;53;OE1;1421;NVC;35;SPKFEB
AC;O;images;SPKFEB;0;2016-07-04T15:20:41+02:00;2;2: Some polices are not jugglers;police,barber,juggler;3;;;;54;AI4;1296;Iac,Ica;35;SPKFEB
CA;I;images;SPKFEB;NVC;2016-07-04T15:20:42+02:00;9;9: Some packers are butchers;butcher,tutor,packer;3;;;;55;OE2;1331;NVC;35;SPKFEB
AC;E;images;SPKFEB;1;2016-07-04T15:20:44+02:00;1;1: No lawyers are athletes;lawyer,hunter,athlete;3;;;;56;AE1;1290;Eac,Eca,Oac,Oca;35;SPKFEB
NA;NA;images;SPKFEB;0;2016-07-04T15:20:46+02:00;-1;Space: No conclusion is possible;poet,skater,miner;3;;;;57;IE4;1484;Oac;35;SPKFEB
AC;I;images;SPKFEB;NVC;2016-07-04T15:20:48+02:00;3;3: Some boxers are dancers;boxer,typist,dancer;3;;;;58;IO1;1348;NVC;35;SPKFEB
CA;A;images;SPKFEB;NVC;2016-07-04T15:20:50+02:00;0;0: All workers are painters;painter,actor,worker;3;;;;59;OI1;1440;NVC;35;SPKFEB
AC;E;images;SPKFEB;0;2016-07-04T15:20:52+02:00;1;1: No judges are porters;judge,brewer,porter;3;;;;60;AA2;1314;Aca,Iac,Ica;35;SPKFEB
CA;O;images;SPKFEB;1;2016-07-04T15:20:53+02:00;8;8: Some students are not cyclists;cyclist,buyer,student;3;;;;61;EA1;1418;Oca;35;SPKFEB
AC;E;images;SPKFEB;0;2016-07-04T15:20:55+02:00;1;1: No travelers are analysts;traveler,novelist,analyst;3;;;;62;OA4;1416;Oca;35;SPKFEB
NA;NA;images;SPKFEB;NVC;2016-07-04T15:20:57+02:00;-1;Space: No conclusion is possible;optician,boxer,actuary;3;;;;63;AO1;1413;NVC;35;SPKFEB
CA;I;images;IFLMNX;NVC;2016-07-04T15:50:01+02:00;7;7: Some climbers are skaters;skater,climber,therapist;4;;;;0;A_1;155885;NVC;36;IFLMNX
CA;O;images;IFLMNX;NVC;2016-07-04T15:50:06+02:00;8;8: Some tutors are not butchers;butcher,tutor,packer;4;;;;1;E_1;4817;NVC;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T15:50:13+02:00;9;9: All dancers are typists;typist,dancer,boxer;4;;;;2;I_1;6675;NVC;36;IFLMNX
CA;E;images;IFLMNX;NVC;2016-07-04T15:50:17+02:00;0;0: No campers are engineers;engineer,camper,fencer;4;;;;3;O_1;3960;NVC;36;IFLMNX
AC;I;images;IFLMNX;0;2016-07-04T15:58:25+02:00;1;1: Some campers are engineers;camper,fencer,engineer;4;;;;0;EA3;7951;Eac,Eca,Oac,Oca;36;IFLMNX
AC;O;images;IFLMNX;0;2016-07-04T15:58:29+02:00;2;2: Some butchers are not tutors;butcher,packer,tutor;4;;;;1;AI2;3794;Iac,Ica;36;IFLMNX
AC;A;images;IFLMNX;1;2016-07-04T15:58:33+02:00;3;3: All climbers are therapists;climber,skater,therapist;4;;;;2;AA1;3368;Aac,Iac,Ica;36;IFLMNX
AC;E;images;IFLMNX;0;2016-07-04T15:58:37+02:00;4;4: No lawyers are hunters;lawyer,athlete,hunter;4;;;;3;IA4;3562;Iac,Ica;36;IFLMNX
CA;I;images;IFLMNX;0;2016-07-04T15:58:48+02:00;7;7: Some novelists are analysts;analyst,traveler,novelist;4;;;;4;IE1;10588;Oac;36;IFLMNX
CA;O;images;IFLMNX;NVC;2016-07-04T15:59:01+02:00;8;8: Some joggers are not counselors;counselor,rider,jogger;4;;;;5;OA2;12272;NVC;36;IFLMNX
CA;A;images;IFLMNX;1;2016-07-04T15:59:06+02:00;9;9: All workers are painters;painter,actor,worker;4;;;;6;AA2;4708;Aca,Iac,Ica;36;IFLMNX
CA;E;images;IFLMNX;1;2016-07-04T15:59:11+02:00;0;0: No drillers are actors;actor,nurse,driller;4;;;;7;AE3;4200;Eac,Eca,Oac,Oca;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T15:59:15+02:00;1;1: Some cyclists are buyers;cyclist,student,buyer;4;;;;8;EO1;3732;NVC;36;IFLMNX
AC;O;images;IFLMNX;0;2016-07-04T15:59:23+02:00;2;2: Some carpenters are not linguists;carpenter,diver,linguist;4;;;;9;EI2;7253;Oca;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T15:59:37+02:00;2;2: Some actuarys are not boxers;actuary,optician,boxer;4;;;;10;IA3;13506;NVC;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:00:15+02:00;9;9: All barbers are jugglers;juggler,police,barber;4;;;;11;OI2;37967;NVC;36;IFLMNX
CA;I;images;IFLMNX;NVC;2016-07-04T16:00:25+02:00;7;7: Some tellers are climbers;climber,doctor,teller;4;;;;12;EO2;9316;NVC;36;IFLMNX
NA;NA;images;IFLMNX;NVC;2016-07-04T16:00:32+02:00;-1;Space: No conclusion is possible;plumber,dentist,lifeguard;4;;;;13;OE2;7029;NVC;36;IFLMNX
AC;I;images;IFLMNX;1;2016-07-04T16:00:39+02:00;1;1: Some bakers are sculptors;baker,gambler,sculptor;4;;;;14;IA1;6335;Iac,Ica;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:00:45+02:00;2;2: Some cooks are not swimmers;cook,mayor,swimmer;4;;;;15;EE2;5674;NVC;36;IFLMNX
CA;I;images;IFLMNX;0;2016-07-04T16:01:16+02:00;7;7: Some chemists are potters;potter,sailor,chemist;4;;;;16;OA3;6283;Oac;36;IFLMNX
CA;O;images;IFLMNX;NVC;2016-07-04T16:01:19+02:00;8;8: Some assistants are not farmers;farmer,scholar,assistant;4;;;;17;OO2;2240;NVC;36;IFLMNX
CA;A;images;IFLMNX;0;2016-07-04T16:01:21+02:00;9;9: All surfers are planners;planner,artist,surfer;4;;;;18;AE4;1825;Oac;36;IFLMNX
CA;E;images;IFLMNX;0;2016-07-04T16:01:24+02:00;0;0: No brewers are porters;porter,judge,brewer;4;;;;19;AO3;2629;Oca;36;IFLMNX
NA;NA;images;IFLMNX;NVC;2016-07-04T16:01:29+02:00;-1;Space: No conclusion is possible;poet,skater,miner;4;;;;20;II3;4891;NVC;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T16:01:32+02:00;1;1: Some clerks are managers;clerk,model,manager;4;;;;21;II2;2694;NVC;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:01:36+02:00;2;2: Some trainers are not architects;trainer,designer,architect;4;;;;22;EE3;2575;NVC;36;IFLMNX
AC;A;images;IFLMNX;NVC;2016-07-04T16:01:38+02:00;3;3: All secretarys are agents;secretary,broker,agent;4;;;;23;OO4;1893;NVC;36;IFLMNX
AC;E;images;IFLMNX;NVC;2016-07-04T16:01:40+02:00;4;4: No golfers are teachers;golfer,banker,teacher;4;;;;24;AI3;1916;NVC;36;IFLMNX
CA;I;images;IFLMNX;NVC;2016-07-04T16:01:43+02:00;7;7: Some runners are chefs;chef,scientist,runner;4;;;;25;OE4;2227;NVC;36;IFLMNX
CA;O;images;IFLMNX;NVC;2016-07-04T16:01:45+02:00;8;8: Some florists are not editors;editor,soldier,florist;4;;;;26;OO3;1812;NVC;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:01:47+02:00;9;9: All pilots are singers;singer,tailor,pilot;4;;;;27;OE1;1509;NVC;36;IFLMNX
CA;E;images;IFLMNX;0;2016-07-04T16:01:50+02:00;0;0: No dancers are boxers;boxer,typist,dancer;4;;;;28;AO4;1984;Oac;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T16:01:58+02:00;1;1: Some drivers are writers;driver,hiker,writer;4;;;;29;AA3;1729;NVC;36;IFLMNX
AC;O;images;IFLMNX;0;2016-07-04T16:02:00+02:00;2;2: Some auditors are not cleaners;auditor,painter,cleaner;4;;;;30;EI4;1649;Oca;36;IFLMNX
AC;A;images;IFLMNX;0;2016-07-04T16:02:02+02:00;3;3: All cashiers are waiters;cashier,poet,waiter;4;;;;31;IE4;1521;Oac;36;IFLMNX
AC;E;images;IFLMNX;0;2016-07-04T16:02:05+02:00;4;4: No drillers are actors;driller,nurse,actor;4;;;;32;AE2;1715;Oac;36;IFLMNX
CA;I;images;IFLMNX;0;2016-07-04T16:02:07+02:00;7;7: Some butchers are packers;packer,tutor,butcher;4;;;;33;EA2;1538;Eac,Eca,Oac,Oca;36;IFLMNX
CA;O;images;IFLMNX;1;2016-07-04T16:02:09+02:00;8;8: Some golfers are not teachers;teacher,banker,golfer;4;;;;34;EA1;1835;Oca;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:02:11+02:00;9;9: All dancers are typists;typist,boxer,dancer;4;;;;35;AI1;2152;NVC;36;IFLMNX
CA;E;images;IFLMNX;0;2016-07-04T16:02:15+02:00;0;0: No dentists are lifeguards;lifeguard,plumber,dentist;4;;;;36;IE3;3245;Oac;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T16:02:17+02:00;1;1: Some farmers are assistants;farmer,scholar,assistant;4;;;;37;IO2;1824;NVC;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:02:20+02:00;2;2: Some climbers are not doctors;climber,teller,doctor;4;;;;38;IO3;1683;NVC;36;IFLMNX
AC;A;images;IFLMNX;NVC;2016-07-04T16:02:22+02:00;3;3: All managers are clerks;manager,model,clerk;4;;;;39;OI3;1921;NVC;36;IFLMNX
AC;E;images;IFLMNX;NVC;2016-07-04T16:02:25+02:00;4;4: No counselors are riders;counselor,jogger,rider;4;;;;40;OA1;2384;NVC;36;IFLMNX
CA;I;images;IFLMNX;1;2016-07-04T16:02:27+02:00;7;7: Some therapists are climbers;climber,skater,therapist;4;;;;41;AI4;1695;Iac,Ica;36;IFLMNX
CA;O;images;IFLMNX;1;2016-07-04T16:02:29+02:00;8;8: Some trainers are not designers;designer,architect,trainer;4;;;;42;AE1;1541;Eac,Eca,Oac,Oca;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:02:31+02:00;9;9: All writers are drivers;driver,hiker,writer;4;;;;43;AO1;1719;NVC;36;IFLMNX
CA;E;images;IFLMNX;0;2016-07-04T16:02:33+02:00;0;0: No novelists are analysts;analyst,traveler,novelist;4;;;;44;OA4;1612;Oca;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:02:44+02:00;2;2: Some sculptors are not bakers;sculptor,gambler,baker;4;;;;45;OO1;1825;NVC;36;IFLMNX
AC;A;images;IFLMNX;NVC;2016-07-04T16:02:46+02:00;3;3: All fencers are engineers;fencer,camper,engineer;4;;;;46;OE3;1699;NVC;36;IFLMNX
AC;E;images;IFLMNX;0;2016-07-04T16:02:48+02:00;4;4: No porters are brewers;porter,judge,brewer;4;;;;47;EI1;1652;Oca;36;IFLMNX
CA;I;images;IFLMNX;NVC;2016-07-04T16:02:50+02:00;7;7: Some runners are scientists;scientist,chef,runner;4;;;;48;EE4;1551;NVC;36;IFLMNX
CA;O;images;IFLMNX;1;2016-07-04T16:02:52+02:00;8;8: Some cashiers are not poets;poet,waiter,cashier;4;;;;49;EI3;1387;Oca;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:02:54+02:00;9;9: All buyers are students;student,cyclist,buyer;4;;;;50;EO3;1536;NVC;36;IFLMNX
CA;E;images;IFLMNX;NVC;2016-07-04T16:02:56+02:00;0;0: No agents are brokers;broker,secretary,agent;4;;;;51;IO1;1521;NVC;36;IFLMNX
NA;NA;images;IFLMNX;0;2016-07-04T16:02:58+02:00;-1;Space: No conclusion is possible;surfer,artist,planner;4;;;;52;EA4;1607;Oca;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T16:03:00+02:00;1;1: Some actuarys are opticians;actuary,boxer,optician;4;;;;53;IO4;1651;NVC;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:03:02+02:00;2;2: Some sailors are not potters;sailor,chemist,potter;4;;;;54;OI1;1618;NVC;36;IFLMNX
AC;A;images;IFLMNX;NVC;2016-07-04T16:03:04+02:00;3;3: All athletes are hunters;athlete,lawyer,hunter;4;;;;55;EE1;1705;NVC;36;IFLMNX
AC;E;images;IFLMNX;0;2016-07-04T16:03:06+02:00;4;4: No soldiers are editors;soldier,florist,editor;4;;;;56;AA4;1588;Iac,Ica;36;IFLMNX
CA;I;images;IFLMNX;NVC;2016-07-04T16:03:08+02:00;7;7: Some auditors are cleaners;cleaner,painter,auditor;4;;;;57;OI4;1565;NVC;36;IFLMNX
CA;O;images;IFLMNX;0;2016-07-04T16:03:10+02:00;8;8: Some polices are not barbers;barber,juggler,police;4;;;;58;IE2;1136;Oac;36;IFLMNX
CA;A;images;IFLMNX;NVC;2016-07-04T16:03:12+02:00;9;9: All poets are miners;miner,skater,poet;4;;;;59;AO2;1715;NVC;36;IFLMNX
CA;E;images;IFLMNX;NVC;2016-07-04T16:03:14+02:00;0;0: No mayors are cooks;cook,swimmer,mayor;4;;;;60;IA2;1785;NVC;36;IFLMNX
AC;I;images;IFLMNX;NVC;2016-07-04T16:03:16+02:00;1;1: Some pilots are singers;pilot,tailor,singer;4;;;;61;II4;1632;NVC;36;IFLMNX
AC;O;images;IFLMNX;NVC;2016-07-04T16:03:19+02:00;2;2: Some carpenters are not divers;carpenter,linguist,diver;4;;;;62;II1;1726;NVC;36;IFLMNX
AC;A;images;IFLMNX;NVC;2016-07-04T16:03:21+02:00;3;3: All painters are workers;painter,actor,worker;4;;;;63;EO4;1795;NVC;36;IFLMNX
AC;O;images;KODHVR;NVC;2016-07-04T17:05:51+02:00;1;1: Some teachers are not golfers;teachers,golfers,bankers;6;;;;0;A_1;6426;NVC;38;KODHVR
AC;I;images;KODHVR;NVC;2016-07-04T17:05:54+02:00;2;2: Some lawyers are athletes;lawyers,athletes,hunters;6;;;;1;E_1;2757;NVC;38;KODHVR
AC;E;images;KODHVR;NVC;2016-07-04T17:05:58+02:00;3;3: No novelists are analysts;novelists,analysts,travelers;6;;;;2;I_1;3410;NVC;38;KODHVR
AC;A;images;KODHVR;NVC;2016-07-04T17:06:02+02:00;4;4: All engineers are fencers;engineers,fencers,campers;6;;;;3;O_1;3687;NVC;38;KODHVR
AC;O;images;KODHVR;0;2016-07-04T17:07:34+02:00;1;1: Some agents are not secretaries;agents,brokers,secretaries;6;;;;0;AI2;6470;Iac,Ica;38;KODHVR
AC;I;images;KODHVR;1;2016-07-04T17:07:37+02:00;2;2: Some chemists are potters;chemists,sailors,potters;6;;;;1;AA1;2214;Aac,Iac,Ica;38;KODHVR
AC;E;images;KODHVR;0;2016-07-04T17:07:40+02:00;3;3: No barbers are jugglers;barbers,investors,jugglers;6;;;;2;IA4;1899;Iac,Ica;38;KODHVR
AC;A;images;KODHVR;0;2016-07-04T17:07:42+02:00;4;4: All planners are surfers;planners,artists,surfers;6;;;;3;EA3;2307;Eac,Eca,Oac,Oca;38;KODHVR
CA;O;images;KODHVR;1;2016-07-04T17:07:45+02:00;7;7: Some lawyers are not hunters;hunters,athletes,lawyers;6;;;;4;AO3;2297;Oca;38;KODHVR
CA;I;images;KODHVR;0;2016-07-04T17:07:48+02:00;8;8: Some analysts are travelers;travelers,novelists,analysts;6;;;;5;AE3;1970;Eac,Eca,Oac,Oca;38;KODHVR
CA;E;images;KODHVR;0;2016-07-04T17:07:50+02:00;9;9: No counselors are joggers;joggers,riders,counselors;6;;;;6;IE1;2297;Oac;38;KODHVR
CA;A;images;KODHVR;NVC;2016-07-04T17:07:53+02:00;0;0: All writers are hikers;hikers,drivers,writers;6;;;;7;OE4;2147;NVC;38;KODHVR
AC;O;images;KODHVR;1;2016-07-04T17:07:55+02:00;1;1: Some chefs are not scientists;chefs,runners,scientists;6;;;;8;IE4;1915;Oac;38;KODHVR
AC;I;images;KODHVR;NVC;2016-07-04T17:07:57+02:00;2;2: Some typists are dancers;typists,boxers,dancers;6;;;;9;IO4;1604;NVC;38;KODHVR
AC;E;images;KODHVR;NVC;2016-07-04T17:08:01+02:00;3;3: No boxers are opticians;boxers,actuaries,opticians;6;;;;10;AI3;3303;NVC;38;KODHVR
AC;A;images;KODHVR;0;2016-07-04T17:08:03+02:00;4;4: All cyclists are buyers;cyclists,students,buyers;6;;;;11;AI4;1611;Iac,Ica;38;KODHVR
CA;O;images;KODHVR;0;2016-07-04T17:08:05+02:00;7;7: Some bakers are not gamblers;gamblers,sculptors,bakers;6;;;;12;AA2;1473;Aca,Iac,Ica;38;KODHVR
CA;I;images;KODHVR;0;2016-07-04T17:08:07+02:00;8;8: Some climbers are tellers;tellers,doctors,climbers;6;;;;13;EI3;1849;Oca;38;KODHVR
CA;E;images;KODHVR;NVC;2016-07-04T17:08:09+02:00;9;9: No skaters are therapists;therapists,climbers,skaters;6;;;;14;IA3;1188;NVC;38;KODHVR
CA;A;images;KODHVR;0;2016-07-04T17:08:11+02:00;0;0: All cleaners are auditors;auditors,painters,cleaners;6;;;;15;EA1;1724;Oca;38;KODHVR
AC;O;images;KODHVR;NVC;2016-07-04T17:08:41+02:00;1;1: Some golfers are not teachers;golfers,bankers,teachers;6;;;;16;OE3;2484;NVC;38;KODHVR
AC;I;images;KODHVR;0;2016-07-04T17:08:43+02:00;2;2: Some skaters are miners;skaters,poets,miners;6;;;;17;EI1;1817;Oca;38;KODHVR
AC;I;images;KODHVR;NVC;2016-07-04T17:08:45+02:00;2;2: Some tailors are singers;tailors,pilots,singers;6;;;;18;II2;2095;NVC;38;KODHVR
